episode,reward,steps,goal,collision,epsilon,avg_loss,difficulty
365,31.5500,108,1,0,0.40106,0.213648,easy
366,-3.8500,36,0,1,0.40006,0.202685,easy
367,26.5500,54,1,0,0.39906,0.250231,easy
368,30.1000,110,1,0,0.39806,0.201576,easy
369,27.7500,64,1,0,0.39707,0.296159,easy
370,29.2000,45,1,0,0.39607,0.296606,easy
371,-3.7500,115,0,1,0.39508,0.215600,easy
372,27.6000,67,1,0,0.39409,0.310754,easy
373,31.3000,145,1,0,0.39311,0.302533,easy
374,30.2500,244,1,0,0.39213,0.224410,easy
375,26.4500,98,1,0,0.39115,0.211352,easy
376,21.9000,465,1,0,0.39017,0.268623,easy
377,31.7500,72,1,0,0.38919,0.267881,easy
378,27.9000,39,1,0,0.38822,0.239604,easy
379,33.5000,124,1,0,0.38725,0.229878,easy
380,31.8500,71,1,0,0.38628,0.264440,easy
381,32.3500,74,1,0,0.38532,0.218710,easy
382,24.0000,428,1,0,0.38435,0.228009,easy
383,23.1000,266,1,0,0.38339,0.201108,easy
384,25.3500,251,1,0,0.38243,0.208153,easy
385,28.2500,58,1,0,0.38148,0.202602,easy
386,29.0500,70,1,0,0.38052,0.193525,easy
387,27.9500,38,1,0,0.37957,0.194430,easy
388,-6.0500,276,0,1,0.37862,0.194084,easy
389,-3.3500,85,0,1,0.37768,0.184193,easy
390,32.2000,225,1,0,0.37673,0.245546,easy
391,-2.3500,102,0,1,0.37579,0.344374,easy
392,32.9000,113,1,0,0.37485,0.316214,easy
393,29.3500,159,1,0,0.37391,0.297794,easy
394,29.3500,122,1,0,0.37298,0.311747,easy
395,-0.4000,600,0,0,0.37205,0.265066,easy
396,1.3000,206,0,1,0.37112,0.233473,easy
397,31.2500,158,1,0,0.37019,0.279023,easy
398,27.3000,293,1,0,0.36926,0.278824,easy
399,29.6500,76,1,0,0.36834,0.213512,easy
400,26.8500,174,1,0,0.36742,0.235300,medium
401,-0.7000,117,0,1,0.36650,0.265549,medium
402,28.8500,90,1,0,0.36558,0.209987,medium
403,-3.4500,75,0,1,0.36467,0.251769,medium
404,32.8500,106,1,0,0.36376,0.303105,medium
405,23.3500,576,1,0,0.36285,0.275589,medium
406,29.3000,178,1,0,0.36194,0.295829,medium
407,-8.2000,600,0,0,0.36104,0.282258,medium
408,35.0000,79,1,0,0.36013,0.224419,medium
409,27.5000,91,1,0,0.35923,0.225609,medium
410,28.2000,122,1,0,0.35834,0.278840,medium
411,22.9000,328,1,0,0.35744,0.248862,medium
412,-5.5000,310,0,1,0.35655,0.265832,medium
413,-2.3000,600,0,0,0.35566,0.261843,medium
414,-7.6000,19,0,1,0.35477,0.299009,medium
415,3.9500,162,0,1,0.35388,0.262953,medium
416,31.9500,78,1,0,0.35299,0.265163,medium
417,33.2000,167,1,0,0.35211,0.292831,medium
418,26.0500,34,1,0,0.35123,0.243126,medium
419,28.4500,84,1,0,0.35035,0.283973,medium
420,30.5000,65,1,0,0.34948,0.256318,medium
421,29.1000,275,1,0,0.34860,0.288016,medium
422,36.9500,283,1,0,0.34773,0.249655,medium
423,0.7000,128,0,1,0.34686,0.297613,medium
424,14.9000,596,1,0,0.34600,0.274368,medium
425,30.9500,126,1,0,0.34513,0.273177,medium
426,25.1000,226,1,0,0.34427,0.289231,medium
427,26.0000,41,1,0,0.34341,0.245912,medium
428,0.3000,106,0,1,0.34255,0.228538,medium
429,27.8500,265,1,0,0.34169,0.289361,medium
430,33.0500,110,1,0,0.34084,0.306132,medium
431,28.7500,278,1,0,0.33999,0.227941,medium
432,28.3000,37,1,0,0.33914,0.216479,medium
433,26.7000,61,1,0,0.33829,0.230948,medium
434,30.4500,78,1,0,0.33744,0.253585,medium
435,30.3500,215,1,0,0.33660,0.292951,medium
436,-0.2000,195,0,1,0.33576,0.249320,medium
437,-3.7500,51,0,1,0.33492,0.263645,medium
438,23.3500,283,1,0,0.33408,0.317684,medium
439,21.4000,223,1,0,0.33325,0.278711,medium
440,-1.6500,600,0,0,0.33241,0.253269,medium
441,0.4000,91,0,1,0.33158,0.242018,medium
442,0.7500,600,0,0,0.33075,0.262764,medium
443,-6.5500,19,0,1,0.32993,0.243598,medium
444,25.7500,214,1,0,0.32910,0.258347,medium
445,28.7000,45,1,0,0.32828,0.254504,medium
446,2.5000,600,0,0,0.32746,0.274819,medium
447,6.2000,600,0,0,0.32664,0.306511,medium
448,17.5500,522,1,0,0.32582,0.266484,medium
449,27.9000,189,1,0,0.32501,0.361751,medium
450,33.7000,89,1,0,0.32420,0.333470,medium
451,26.4000,32,1,0,0.32338,0.292653,medium
452,27.2500,71,1,0,0.32258,0.310351,medium
453,23.6500,321,1,0,0.32177,0.284985,medium
454,-7.5000,265,0,1,0.32097,0.283115,medium
455,-4.3500,600,0,0,0.32016,0.285642,medium
456,-7.6000,234,0,1,0.31936,0.271585,medium
457,-3.8500,146,0,1,0.31856,0.253958,medium
458,-9.4500,421,0,1,0.31777,0.317407,medium
459,31.0500,70,1,0,0.31697,0.329999,medium
460,30.6500,99,1,0,0.31618,0.279481,medium
461,-1.4000,133,0,1,0.31539,0.266762,medium
462,0.2000,152,0,1,0.31460,0.213117,medium
463,22.3500,271,1,0,0.31382,0.275163,medium
464,1.3500,600,0,0,0.31303,0.271294,medium
465,29.3000,57,1,0,0.31225,0.304483,medium
466,25.8500,70,1,0,0.31147,0.238612,medium
467,28.2000,35,1,0,0.31069,0.238261,medium
468,22.5000,388,1,0,0.30991,0.255661,medium
469,30.4500,88,1,0,0.30914,0.296247,medium
470,8.8000,588,1,0,0.30836,0.270931,medium
471,-5.0500,600,0,0,0.30759,0.280251,medium
472,5.0000,133,0,1,0.30683,0.392590,medium
473,-7.9000,600,0,0,0.30606,0.305492,medium
474,-12.1500,600,0,0,0.30529,0.281586,medium
475,25.0500,311,1,0,0.30453,0.303519,medium
476,27.2500,38,1,0,0.30377,0.202733,medium
477,-9.9500,600,0,0,0.30301,0.278789,medium
478,-3.5000,53,0,1,0.30225,0.288342,medium
479,-0.2000,600,0,0,0.30150,0.288655,medium
480,-4.9500,88,0,1,0.30074,0.298095,medium
481,25.9500,180,1,0,0.29999,0.320960,medium
482,30.7000,91,1,0,0.29924,0.268409,medium
483,0.4000,85,0,1,0.29849,0.253056,medium
484,28.9500,162,1,0,0.29775,0.272689,medium
485,31.4000,129,1,0,0.29700,0.289085,medium
486,29.0500,132,1,0,0.29626,0.268354,medium
487,26.8500,407,1,0,0.29552,0.277306,medium
488,-3.4500,80,0,1,0.29478,0.271715,medium
489,31.6500,88,1,0,0.29404,0.255869,medium
490,30.5500,192,1,0,0.29331,0.288937,medium
491,25.8500,508,1,0,0.29257,0.265208,medium
492,28.3000,196,1,0,0.29184,0.321692,medium
493,-4.6500,72,0,1,0.29111,0.235501,medium
494,35.8500,226,1,0,0.29039,0.239967,medium
495,29.7500,427,1,0,0.28966,0.258610,medium
496,30.5000,75,1,0,0.28894,0.206093,medium
497,26.2000,47,1,0,0.28821,0.206435,medium
498,-1.1500,76,0,1,0.28749,0.273650,medium
499,2.5000,156,0,1,0.28677,0.243518,medium
500,-3.4500,99,0,1,0.28606,0.254625,medium
501,34.4500,156,1,0,0.28534,0.237908,medium
502,-1.8500,45,0,1,0.28463,0.267056,medium
503,-5.3500,56,0,1,0.28392,0.310923,medium
504,25.7500,54,1,0,0.28321,0.238510,medium
505,30.7000,73,1,0,0.28250,0.231735,medium
506,28.7500,159,1,0,0.28179,0.226823,medium
507,27.2000,178,1,0,0.28109,0.244405,medium
508,28.7500,54,1,0,0.28039,0.228509,medium
509,4.4000,215,0,1,0.27968,0.183289,medium
510,24.6000,134,1,0,0.27899,0.286521,medium
511,30.8500,397,1,0,0.27829,0.261622,medium
512,28.2500,64,1,0,0.27759,0.201553,medium
513,27.7000,39,1,0,0.27690,0.308966,medium
514,35.3500,72,1,0,0.27621,0.232405,medium
515,26.6000,58,1,0,0.27552,0.198744,medium
516,-1.4500,156,0,1,0.27483,0.225646,medium
517,-2.2000,95,0,1,0.27414,0.216554,medium
518,27.9500,75,1,0,0.27345,0.246449,medium
519,30.1500,115,1,0,0.27277,0.307929,medium
520,30.5000,83,1,0,0.27209,0.242462,medium
521,15.8000,600,0,0,0.27141,0.225345,medium
522,27.1500,34,1,0,0.27073,0.212636,medium
523,-4.5500,28,0,1,0.27005,0.189162,medium
524,-0.4500,88,0,1,0.26938,0.200931,medium
525,-5.1000,251,0,1,0.26870,0.190684,medium
526,31.4000,110,1,0,0.26803,0.191873,medium
527,37.0500,186,1,0,0.26736,0.281669,medium
528,-0.8500,44,0,1,0.26669,0.210931,medium
